"data_type","phenotype","n_subjects","mean_pearson_correlation","mean_spearman_correlation","sd_pearson_correlation","sd_spearman_correlation","mean_n_points","pearson_ttest_pvalue","spearman_ttest_pvalue","pearson_ttest_fdr","spearman_ttest_fdr"
"physiology","pH",10,0.42979896040009,0.474308908599165,0.416869159137918,0.364992418326636,5.5,0.0148209354406981,0.00455421059151107,0.0279951002768742,0.0106788386283708
"ultrasound","Heart and Large Vessels_Transverse Right Ventricular Diameter/Transverse Left Ventricular Diameter",7,0.414712890986363,0.306940131083312,0.336531342038718,0.370061220768498,3.28571428571429,0.0294654504462452,0.0979010489079075,0.0455375143260154,0.131670936261564
"physiology","ApoAⅠ",10,-0.412645221817059,-0.472161065868719,0.455688700191964,0.416963340655861,5.4,0.0263861268127859,0.00940012885339959,0.0427203957921295,0.0177557989453103
"eye","Right Eye Pupil Diameter(PD_R)",12,-0.378101609163445,-0.280343264274513,0.234919497892175,0.30848664783433,4.83333333333333,0.000166299189443066,0.00927403030136158,0.000538492613434691,0.0177557989453103
"ultrasound","Left common carotid artery_peak systolic flow velocity",11,-0.352754579986227,-0.301265957253653,0.443904665080488,0.542701223647223,5.09090909090909,0.0331501903533727,0.113069035998101,0.0500936209784299,0.145069706563601
"physiology","Red Blood Cell Count(RBC)",11,0.331720960931742,0.311886590210909,0.372532462499553,0.349920147350405,5.72727272727273,0.0201834661126302,0.0200940972350067,0.0348414415392004,0.0350358618456527
"physiology","Albumin(ALB)",11,0.330458169874252,0.31815426498347,0.358724060637323,0.332689338624863,6.36363636363636,0.0172240167940564,0.0143830280643877,0.0316549497836712,0.0257380502204833
"eye","Left Eye Pupil Diameter(PD_L)",12,-0.316886651964396,-0.105312839439948,0.253556058730089,0.342862408976337,4.83333333333333,0.00119589936893633,0.310116978305335,0.00301189470695076,0.329499289449418
"eye","Right Eye White to White(WTW_R)",12,-0.288677305796205,-0.289347237831244,0.42772394131976,0.446361093542327,4.83333333333333,0.0393124923132313,0.046248898990112,0.0581141190717332,0.0748791697935146
"cognitive","SpatialMem_error_distance",12,-0.26286667175974,-0.243915938322257,0.381079260044382,0.36784460653169,6.08333333333333,0.0451830482440527,0.0525087907702235,0.0653712187360762,0.0811499493721635
