subject_id,time,microbe,log_abundance,time_numeric,site,age_group,age_numeric
S1,T6,QML5200-240504-01B_bin.74.permissive,-6.849654482426704,8,gut,old,1
S1,T6,QML5200-240504-05B_bin.24.orig,-9.55904936052366,8,gut,old,1
S1,T6,QML5200-240504-06B_bin.32.strict,-8.505704280865757,8,gut,old,1
S1,T6,QML5200-240511-01B_bin.13.orig,-6.823835658759619,8,gut,old,1
S1,T6,QML5200-240511-01B_bin.57.strict,-7.216196131770432,8,gut,old,1
S1,T6,QML5200-240511-02B_bin.12.strict,-6.816986912210992,8,gut,old,1
S1,T6,QML5200-240522-05B_bin.2.orig,-13.076690008177838,8,gut,old,1
S1,T6,QML5200-240522-08B_bin.2.strict,-10.2948988552534,8,gut,old,1
S1,T6,QML5200-240522-11B_bin.40.permissive,-18.420680743952367,8,gut,old,1
S1,T6,QML5800-240423-04B_bin.7.strict,-4.00951988262322,8,gut,old,1
S1,T6,QML5800-240423-05B_bin.15.strict,-6.774385993214058,8,gut,old,1
S1,T6,QML5800-240423-05B_bin.41.permissive,-8.487622444762533,8,gut,old,1
S1,T6,QML5800-240423-05B_bin.45.orig,-7.957343978847893,8,gut,old,1
S1,T6,QML5800-240423-08B_bin.36.orig,-18.420680743952367,8,gut,old,1
S1,T6,QML5800-240423-08B_bin.9.permissive,-5.527851474267916,8,gut,old,1
S1,T6,QML5800-240423-11D_bin.9.strict,-18.420680743952367,8,gut,old,1
S1,T6,QML5800-240428-02B_bin.44.strict,-7.12819276877832,8,gut,old,1
S1,T6,QML5800-240428-05B_bin.15.orig,-18.420680743952367,8,gut,old,1
S1,T6,QML5800-240428-05B_bin.5.permissive,-6.152181252476463,8,gut,old,1
S1,T6,QML5800-240428-06B_bin.67.orig,-7.027835848914625,8,gut,old,1
S1,T6,QML6500-240426-05B_bin.35.strict,-5.018468213998905,8,gut,old,1
S1,T6,QML6500-240426-07B_bin.16.orig,-7.07015396398016,8,gut,old,1
S1,T6,QML6500-240426-07B_bin.34.strict,-7.12512442979006,8,gut,old,1
S1,T7,QML0000-240606-02B_bin.20.orig,-7.450368971229015,9,gut,old,1
S1,T7,QML0000-240606-04B_bin.12.orig,-8.13021826503904,9,gut,old,1
S1,T7,QML0000-240606-04B_bin.17.strict,-5.64278296161535,9,gut,old,1
S1,T7,QML0000-240606-05B_bin.26.strict,-18.420680743952367,9,gut,old,1
S1,T7,QML0000-240606-05B_bin.6.orig,-3.6022078335975496,9,gut,old,1
S1,T7,QML0000-240606-07B_bin.13.strict,-18.420680743952367,9,gut,old,1
S1,T7,QML0000-240606-07B_bin.18.orig,-9.387122678552249,9,gut,old,1
S1,T7,QML0000-240616-01B_bin.36.strict,-8.335694082180826,9,gut,old,1
S1,T7,QML0000-240616-04B_bin.25.strict,-8.61230734692033,9,gut,old,1
S1,T7,QML0000-240616-05B_bin.10.strict,-5.555776772941896,9,gut,old,1
